City,January,February,March,April,May,June,July,August,September,October,November,December
ADANA,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli
ADIYAMAN,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Kurak,Kurak,Kurak,Kurak,Yarı Nemli,Nemli,Nemli
AGRI,Yarı Kurak,Yarı Kurak,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Kurak,Yarı Kurak
AKSARAY,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak
AMASYA,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
ANKARA,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
ANTALYA,Çok Nemli,Çok Nemli,Nemli,Yarı Nemli,Yarı Kurak,Kurak,Kurak,Kurak,Yarı Nemli,Nemli,Çok Nemli,Çok Nemli
ARDAHAN,Kurak,Kurak,Yarı Kurak,Yarı Nemli,Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Nemli,Yarı Nemli,Kurak,Kurak
ARTVIN,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Nemli,Nemli,Yarı Nemli
AYDIN,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Nemli,Nemli
BALIKESIR,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Kurak,Nemli,Yarı Nemli,Nemli,Yarı Nemli
BARTIN,Nemli,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Nemli,Nemli
BATMAN,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Yarı Nemli,Kurak,Kurak,Kurak,Kurak,Yarı Kurak,Yarı Nemli,Yarı Kurak
BAYBURT,Kurak,Kurak,Yarı Kurak,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Kurak
BILECIK,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak
BINGOL,Nemli,Nemli,Çok Nemli,Çok Nemli,Nemli,Yarı Kurak,Yarı Kurak,Kurak,Yarı Kurak,Nemli,Nemli,Nemli
BITLIS,Çok Nemli,Nemli,Çok Nemli,Çok Nemli,Nemli,Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Çok Nemli,Nemli,Nemli
BOLU,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Çok Nemli,Çok Nemli,Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak
BURDUR,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
BURSA,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Çok Nemli,Nemli,Nemli,Nemli
CANAKKALE,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Nemli,Nemli
CANKIRI,Yarı Kurak,Yarı Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Yarı Kurak,Kurak,Yarı Kurak
CORUM,Yarı Kurak,Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Nemli,Nemli,Nemli,Yarı Nemli,Yarı Kurak,Yarı Kurak,Yarı Kurak
DENIZLI,Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli
DIYARBAKIR,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Yarı Nemli,Kurak,Kurak,Kurak,Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli
DUZCE,Nemli,Yarı Nemli,Nemli,Yarı Nemli,Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Çok Nemli,Nemli,Nemli,Nemli
EDIRNE,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Nemli,Çok Nemli,Çok Nemli,Nemli,Nemli,Yarı Nemli,Yarı Nemli
ELAZIG,Yarı Kurak,Yarı Kurak,Yarı Nemli,Nemli,Yarı Nemli,Kurak,Kurak,Kurak,Kurak,Yarı Nemli,Yarı Nemli,Yarı Kurak
ERZINCAN,Kurak,Kurak,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Nemli,Yarı Kurak,Yarı Nemli,Yarı Nemli,Yarı Kurak,Kurak
ERZURUM,Kurak,Kurak,Yarı Kurak,Yarı Nemli,Nemli,Nemli,Çok Nemli,Nemli,Nemli,Yarı Nemli,Yarı Kurak,Kurak
