City,Metric,January,February,March,April,May,June,July,August,September,October,November,December
ADANA,Ortalama Sıcaklık (°C),"9,5","10,6","13,5","17,6","21,9","25,6","28,3","28,7","26,2","21,8","16,0","11,3"
ADANA,Ortalama En Yüksek Sıcaklık (°C),"14,8","16,2","19,4","23,8","28,3","31,7","33,9","34,7","33,1","29,1","22,7","16,9"
ADANA,Ortalama En Düşük Sıcaklık (°C),"5,3","6,0","8,3","11,9","15,8","19,8","23,0","23,5","20,2","15,8","10,8","7,0"
ADANA,Ortalama Güneşlenme Süresi (saat),"4,5","5,3","5,9","7,1","9,1","10,5","10,7","10,2","9,0","7,3","5,8","4,3"
ADANA,Ortalama Yağışlı Gün Sayısı,,,,,,,,,,,,
ADANA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","112,5","88,7","65,8","51,9","48,1","22,1","10,2","9,3","19,1","43,0","71,7","125,8"
ADANA,,Ölçüm Periyodu ( 1929 - 2023)
ADANA,En Yüksek Sıcaklık (°C),"26,5","28,5","32,0","37,5","41,3","42,8","44,4","45,7","45,1","41,5","34,3","30,8"
ADANA,En Düşük Sıcaklık (°C),"-8,1","-6,6","-4,9","-1,3","5,6","9,2","13,2","14,8","9,3","3,5","-4,3","-4,4"
ADANA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ADIYAMAN,Ortalama Sıcaklık (°C),"4,6","6,0","10,0","15,1","20,6","26,7","31,1","30,7","26,0","19,3","11,8","6,7"
ADIYAMAN,Ortalama En Yüksek Sıcaklık (°C),"8,7","10,5","15,0","20,7","26,8","33,3","37,9","37,8","33,2","25,7","17,1","10,8"
ADIYAMAN,Ortalama En Düşük Sıcaklık (°C),"1,4","2,5","5,6","10,0","14,4","19,8","23,8","23,5","19,2","13,8","7,7","3,5"
ADIYAMAN,Ortalama Güneşlenme Süresi (saat),"3,8","4,6","5,8","7,4","9,4","11,6","12,1","11,4","9,7","7,3","5,4","3,9"
ADIYAMAN,Ortalama Yağışlı Gün Sayısı,"12,52","11,62","11,95","10,93","8,51","2,56","0,64","0,49","1,33","6,54","8,85","11,72"
ADIYAMAN,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","138,5","98,0","91,7","64,7","42,9","8,1","1,7","2,2","7,5","44,5","79,7","135,6"
ADIYAMAN,,Ölçüm Periyodu ( 1963 - 2023)
ADIYAMAN,En Yüksek Sıcaklık (°C),"19,9","23,8","28,3","34,5","39,0","41,5","45,3","45,2","42,2","36,1","29,4","26,5"
ADIYAMAN,En Düşük Sıcaklık (°C),"-14,4","-10,0","-7,0","-2,0","3,4","10,6","15,0","15,8","9,6","2,2","-3,5","-8,4"
